Make,Model,Year,Purchase Price,Repair Cost,Sales Price,Profit,Stock Days,Date Sold,Sales Person
Honda,Civic,2020,22790.75,955.96,24890.27,1143.56,86,27/06/2021,Jimmy The Fly
Audi,A5,2020,56348.96,3411.97,65009.31,5248.38,90,30/06/2021,Joe Fats
Audi,A6,2020,64288.33,5511.65,67772.63,-2027.35,17,03/06/2021,Santa Barry
BMW,7 Series,2019,52798.78,2144.09,58415.2,3472.33,89,29/06/2021,Jimmy The Fly
Skoda,Scala,2020,17429.68,999.88,19388.49,958.93,36,18/06/2021,Pat Byrne
Kia,Soul,2021,37588.98,3329.81,42661.33,1742.54,19,21/06/2021,Joe Fats
Skoda,Citigo,2018,10820.11,565.76,11063.94,-321.93,71,29/06/2021,Jimmy The Fly
Honda,Jazz,2019,23676.66,2066.79,28117.36,2373.91,16,12/06/2021,Mary Black
BMW,5 Series,2019,43065,1514.52,48936.74,4357.22,28,28/06/2021,Jimmy The Fly
Honda,Accord,2017,16451.5,1527,19655.23,1676.73,17,22/06/2021,Santa Barry
BMW,5 Series,2021,62193.55,3077.46,67849.26,2578.25,42,16/06/2021,Tony Long
Audi,A3,2021,30350.14,483.31,30653.55,-179.9,69,22/06/2021,Pat Byrne
BMW,1 Series,2019,28323.12,762.6,27721.7,-1364.02,83,05/06/2021,Tony Long
Audi,A4,2020,45712.34,1385.37,50800.8,3703.09,2,28/06/2021,Tony Long
Kia,Ceed,2017,13269.35,1100.77,14251.93,-118.19,55,05/06/2021,Santa Barry
BMW,3 Series,2017,25388.64,434.44,25155.83,-667.25,87,05/06/2021,Joe Fats
Kia,Sorento,2021,53679.68,2381.36,54080.62,-1980.42,69,21/06/2021,Mary Black
Honda,Civic,2019,19170.23,1733.18,22389.33,1485.92,85,25/06/2021,Joe Fats
BMW,5 Series,2017,31061.56,2946.35,35704.68,1696.77,88,20/06/2021,Joe Fats
Honda,Jazz,2021,28913.9,1469.94,30251.35,-132.49,70,21/06/2021,Mary Black
Honda,Civic,2021,24702.53,1234.48,26220.71,283.7,32,04/06/2021,Joe Fats
Skoda,Citigo,2020,12534.13,1080.35,13704.11,89.63,20,24/06/2021,Tony Long
Honda,Civic,2020,21236.76,359.93,23087.83,1491.14,24,14/06/2021,Tony Long
Audi,A6,2021,63924.13,898.61,65488.85,666.11,47,30/06/2021,Joe Fats
BMW,1 Series,2017,21135.23,1574.19,24896.44,2187.02,84,19/06/2021,Mary Black
Skoda,Citigo,2017,9399.96,788.95,10157.25,-31.66,74,30/06/2021,Santa Barry
Audi,A6,2020,57525.16,2097.95,59959.6,336.49,2,17/06/2021,Joe Fats
Kia,Ceed,2021,23041.15,1479.1,26642.6,2122.35,60,28/06/2021,Tony Long
Kia,Rio,2018,13836.37,524.25,15435.25,1074.63,17,08/06/2021,Santa Barry
Kia,Rio,2019,15954.67,392.75,15954.63,-392.79,59,26/06/2021,Tony Long
Honda,Fit,2021,14115.89,1287.76,15198.56,-205.09,21,30/06/2021,Joe Fats
Audi,A4,2019,45384.02,3891.29,51021.75,1746.44,50,04/06/2021,Tony Long
Honda,Civic,2019,17556.26,1604.36,19755.07,594.45,26,20/06/2021,Jimmy The Fly
Audi,A1,2020,26732.81,1918.75,29232.55,580.99,11,19/06/2021,Pat Byrne
Honda,Fit,2021,13547.42,712.82,14420.15,159.91,14,08/06/2021,Pat Byrne
Honda,Jazz,2018,19011.78,781.03,21500.16,1707.35,51,13/06/2021,Mary Black
Honda,Civic,2017,12916.89,1076.74,14280.19,286.56,4,19/06/2021,Tony Long
Kia,Ceed,2021,25925.88,687.13,27323.8,710.79,52,27/06/2021,Tony Long
Skoda,Citigo,2020,13094.42,317.13,14707.58,1296.03,68,12/06/2021,Mary Black
Skoda,Citigo,2018,10473.03,778.35,11610.62,359.24,88,29/06/2021,Pat Byrne
Honda,Jazz,2017,18284.12,1267.52,19337.51,-214.13,5,13/06/2021,Santa Barry
Honda,Accord,2020,29687.49,2879.7,35779.72,3212.53,6,17/06/2021,Joe Fats
BMW,3 Series,2019,36460.18,1836.11,41835.28,3538.99,43,20/06/2021,Pat Byrne
Honda,Accord,2021,33127.53,1508.95,33712.67,-923.81,55,09/06/2021,Jimmy The Fly
Audi,A6,2017,37720.57,2340.37,43208.4,3147.46,69,07/06/2021,Pat Byrne
Audi,A4,2018,38732.44,2362.36,39509.77,-1585.03,79,06/06/2021,Pat Byrne
Skoda,Octavia,2017,21412.63,2006.72,23539.32,119.97,34,10/06/2021,Joe Fats
Honda,Accord,2017,17177.1,865.3,19268.6,1226.2,90,06/06/2021,Tony Long
Kia,Spotage,2020,36076.92,1970.33,39740.04,1692.79,12,16/06/2021,Pat Byrne
Audi,A5,2017,37888.42,2525.49,43208.03,2794.12,9,29/06/2021,Mary Black
Honda,Jazz,2021,31331.45,1686.38,33591.07,573.24,45,19/06/2021,Joe Fats
Audi,A1,2017,18185.47,564.74,17845.54,-904.67,72,15/06/2021,Santa Barry
BMW,7 Series,2019,55877.02,4144.3,62639,2617.68,86,16/06/2021,Santa Barry
Kia,Sorento,2017,35005.92,3065.74,37052.74,-1018.92,70,12/06/2021,Joe Fats
Skoda,Citigo,2020,13993,1101.4,15882.67,788.27,80,14/06/2021,Tony Long
BMW,X5,2021,67170.9,4370.12,73186.88,1645.86,14,01/06/2021,Joe Fats
Honda,Civic,2019,18661.35,709.11,19987.05,616.59,13,25/06/2021,Mary Black
Skoda,Citigo,2020,14034.79,708.41,14033.68,-709.52,12,11/06/2021,Jimmy The Fly
Kia,Ceed,2020,23423.41,2289.19,28067.73,2355.13,90,12/06/2021,Tony Long
Honda,Civic,2019,19318.86,517.22,21112.72,1276.64,77,29/06/2021,Tony Long
Kia,Rio,2020,16887.9,1356.31,18178.01,-66.2,26,16/06/2021,Santa Barry
Skoda,Citigo,2018,10455.92,529.48,11644.4,659,58,21/06/2021,Santa Barry
Kia,Soul,2019,30499.97,2078.9,35078.54,2499.67,48,30/06/2021,Tony Long
Skoda,Scala,2017,11763.22,1022.26,13134.78,349.3,65,28/06/2021,Santa Barry
Audi,A3,2020,26594.91,1035.57,26741.3,-889.18,1,05/06/2021,Jimmy The Fly
Honda,Civic,2018,17117.07,1013.96,17661.88,-469.15,65,04/06/2021,Jimmy The Fly
Honda,Fit,2020,13130.27,412.67,12951.65,-591.29,11,25/06/2021,Pat Byrne
Honda,Accord,2020,26134.03,378.26,25478.67,-1033.62,44,09/06/2021,Mary Black
Audi,A5,2021,54754.63,2367.04,60832.04,3710.37,57,26/06/2021,Pat Byrne
Kia,Soul,2021,37285.87,1674.28,38628.74,-331.41,20,29/06/2021,Mary Black
Audi,A4,2021,57249.85,4106.11,60974.93,-381.03,35,06/06/2021,Mary Black
Audi,A6,2021,67645.61,1670.92,70911.16,1594.63,71,18/06/2021,Jimmy The Fly
Kia,Spotage,2017,20795.38,579.16,22092.39,717.85,29,06/06/2021,Mary Black
Kia,Sorento,2020,51489.24,765.41,52091.39,-163.26,38,05/06/2021,Jimmy The Fly
Honda,Accord,2020,30307.62,1491.23,33770.12,1971.27,31,18/06/2021,Jimmy The Fly
Audi,A6,2021,63339.34,6017.36,74814.9,5458.2,49,26/06/2021,Pat Byrne
Audi,A1,2019,22231.19,1131.75,24441.59,1078.65,61,13/06/2021,Joe Fats
BMW,5 Series,2019,43451.75,1790.09,45790.03,548.19,19,20/06/2021,Pat Byrne
BMW,3 Series,2019,35391.45,1313.04,36094.43,-610.06,64,18/06/2021,Santa Barry
Honda,Civic,2017,14916.28,594.54,16324.1,813.28,47,11/06/2021,Jimmy The Fly
BMW,3 Series,2020,42615.97,2129.29,44046.59,-698.67,48,19/06/2021,Joe Fats
Skoda,Citigo,2018,9233.81,265.48,10175.78,676.49,50,06/06/2021,Santa Barry
Audi,A3,2020,29512.8,759.85,31507.01,1234.36,84,18/06/2021,Pat Byrne
Skoda,Scala,2017,11349.57,602.03,12976.66,1025.06,56,02/06/2021,Joe Fats
Kia,Ceed,2019,18080.21,1176.63,20563.18,1306.34,3,05/06/2021,Jimmy The Fly
Skoda,Scala,2018,12778.97,687.62,13580.62,114.03,56,17/06/2021,Joe Fats
Honda,Fit,2019,11447.38,1027.86,12589.74,114.5,27,09/06/2021,Mary Black
Honda,Jazz,2021,28568.88,2566.87,30450.46,-685.29,62,08/06/2021,Jimmy The Fly
BMW,1 Series,2020,28608.71,2137.16,33294.33,2548.46,56,16/06/2021,Santa Barry
Honda,Accord,2018,21148.17,731.22,21710.59,-168.8,20,22/06/2021,Pat Byrne
Honda,Accord,2021,28815.97,944.15,31193.79,1433.67,55,02/06/2021,Jimmy The Fly
Audi,A4,2017,29657.36,488.9,28654.16,-1492.1,12,29/06/2021,Joe Fats
Kia,Rio,2021,19340.93,1504.13,22219.3,1374.24,11,20/06/2021,Joe Fats
Skoda,Octavia,2019,29277.25,339.09,30646.74,1030.4,35,03/06/2021,Jimmy The Fly
Skoda,Scala,2017,11484.91,757.81,12033.82,-208.9,82,07/06/2021,Pat Byrne
BMW,1 Series,2020,32004.25,1609.07,33691.73,78.41,11,26/06/2021,Pat Byrne
Skoda,Scala,2020,18694.46,849.53,20248.8,704.81,85,16/06/2021,Tony Long
Kia,Rio,2017,12147.41,1056.95,14419.96,1215.6,73,26/06/2021,Tony Long
Skoda,Octavia,2017,18032.93,967.09,18367.51,-632.51,41,07/06/2021,Santa Barry
Kia,Ceed,2018,15661.31,340.9,16430.9,428.69,23,07/06/2021,Santa Barry
Audi,A5,2021,61967.88,4928.15,70491.01,3594.98,49,22/06/2021,Tony Long
BMW,X5,2019,46820.72,2992.34,50390.31,577.25,8,07/06/2021,Joe Fats
Kia,Ceed,2018,16550.54,1097.77,17664.67,16.36,66,05/06/2021,Joe Fats
BMW,3 Series,2020,46402.24,2943.52,52698.46,3352.7,90,25/06/2021,Santa Barry
Kia,Spotage,2020,32924.57,1724.16,37909.92,3261.19,17,16/06/2021,Mary Black
Skoda,Scala,2018,14681.83,1462.54,16600.84,456.47,1,30/06/2021,Mary Black
Audi,A5,2020,48567.1,585.28,48121.8,-1030.58,71,13/06/2021,Santa Barry
Audi,A5,2021,56414.14,5494.22,63183.56,1275.2,35,22/06/2021,Santa Barry
Audi,A3,2019,27080.97,2660.37,31362.9,1621.56,78,17/06/2021,Jimmy The Fly
Skoda,Citigo,2017,9124.04,377.34,10321.7,820.32,74,11/06/2021,Mary Black
Skoda,Octavia,2020,30956.49,1275.05,32130.44,-101.1,54,01/06/2021,Tony Long
Kia,Rio,2021,17572.1,983.62,19719.96,1164.24,17,01/06/2021,Mary Black
BMW,5 Series,2017,30323.47,1380.79,34081.9,2377.64,49,29/06/2021,Mary Black
BMW,1 Series,2021,36177.56,3320.37,39099.96,-397.97,76,06/06/2021,Tony Long
BMW,7 Series,2018,44913.97,4414.93,51267.53,1938.63,83,10/06/2021,Mary Black
Honda,Accord,2017,18720,390.69,19044.38,-66.31,29,02/06/2021,Joe Fats
Kia,Spotage,2020,32686.8,605.71,36506.13,3213.62,34,01/06/2021,Tony Long
Skoda,Octavia,2021,35830.66,1752.67,40431.72,2848.39,36,10/06/2021,Tony Long
Honda,Accord,2018,23373.82,1173.17,24047.9,-499.09,41,02/06/2021,Joe Fats
BMW,7 Series,2018,46869.7,3067.51,51430.22,1493.01,4,21/06/2021,Santa Barry
Skoda,Octavia,2019,27221.82,1679.34,27721.49,-1179.67,68,03/06/2021,Santa Barry
Skoda,Citigo,2017,7546.2,534.01,8093.1,12.89,89,24/06/2021,Tony Long
BMW,1 Series,2018,25478.62,1124.81,28839.65,2236.22,71,05/06/2021,Tony Long
Audi,A1,2017,15583.11,814.08,16196.41,-200.78,32,05/06/2021,Joe Fats
Kia,Ceed,2021,25191.39,599.23,25593.41,-197.21,52,16/06/2021,Santa Barry
Kia,Sorento,2020,48432.94,3296.86,52170.21,440.41,79,09/06/2021,Pat Byrne
Skoda,Octavia,2019,28813.65,2251.38,31288.35,223.32,64,04/06/2021,Joe Fats
BMW,X5,2017,34259.42,3399.34,40517.96,2859.2,82,01/06/2021,Pat Byrne
Skoda,Scala,2019,14098.82,1407.46,15086.55,-419.73,62,20/06/2021,Mary Black
Audi,A6,2021,72383.52,1412.19,73440.67,-355.04,17,29/06/2021,Tony Long
BMW,1 Series,2021,32291.13,2346.79,34812.66,174.74,69,10/06/2021,Mary Black
Honda,Jazz,2017,17762.86,477.3,17405.14,-835.02,77,30/06/2021,Mary Black
Kia,Soul,2019,31193.09,1284.13,34547.72,2070.5,31,03/06/2021,Joe Fats
BMW,3 Series,2020,43996.24,1661.65,48673.21,3015.32,12,09/06/2021,Santa Barry
Audi,A6,2018,43038.89,4168.13,50855.46,3648.44,82,07/06/2021,Mary Black
BMW,7 Series,2019,49734.56,4383.26,57322.78,3204.96,14,17/06/2021,Santa Barry
Skoda,Scala,2021,18482.98,1802.98,21976.61,1690.65,85,25/06/2021,Santa Barry
Audi,A4,2019,38939.87,3110.68,40889.27,-1161.28,28,21/06/2021,Santa Barry
Audi,A4,2020,51529.11,4194.86,59957.02,4233.05,80,01/06/2021,Pat Byrne
Honda,Jazz,2018,18962.36,1288.02,20743.42,493.04,64,01/06/2021,Pat Byrne
Audi,A3,2017,17603.04,683.02,19752.53,1466.47,45,24/06/2021,Tony Long
Kia,Rio,2019,13435.73,1295.49,16016.05,1284.83,31,02/06/2021,Jimmy The Fly
Audi,A5,2017,31115.87,1077.02,35179.8,2986.91,47,25/06/2021,Pat Byrne
Skoda,Scala,2021,20265.77,1178.15,22387.77,943.85,86,17/06/2021,Mary Black
Honda,Fit,2018,11056.34,496.03,11470.71,-81.66,69,13/06/2021,Pat Byrne
Honda,Accord,2018,23473.79,1448.49,24464.98,-457.3,66,21/06/2021,Jimmy The Fly
Audi,A1,2018,20658.17,1129.25,23683.65,1896.23,6,06/06/2021,Tony Long
Honda,Fit,2021,15667.19,1212.52,17977.87,1098.16,39,08/06/2021,Jimmy The Fly
BMW,7 Series,2020,56340.57,2723.4,64362.25,5298.28,37,15/06/2021,Tony Long
BMW,5 Series,2019,49354.19,957.7,51403.74,1091.85,45,13/06/2021,Mary Black
Honda,Accord,2020,25744.94,2115.81,30001.02,2140.27,36,20/06/2021,Jimmy The Fly
Audi,A4,2017,35158.76,2230.2,40705.85,3316.89,46,26/06/2021,Tony Long
Skoda,Citigo,2018,9650.88,642.86,11267.59,973.85,26,28/06/2021,Santa Barry
Kia,Sorento,2021,56680.89,2336.33,61175.03,2157.81,23,19/06/2021,Tony Long
Kia,Spotage,2017,21864.57,1184.45,24826.04,1777.02,38,03/06/2021,Mary Black
Kia,Rio,2017,12207.2,560.89,12862.1,94.01,14,27/06/2021,Mary Black
Kia,Spotage,2021,36530.46,3511.87,38132.06,-1910.27,53,26/06/2021,Tony Long
Kia,Spotage,2021,36920.9,625.47,38479.94,933.57,55,11/06/2021,Joe Fats
Kia,Sorento,2021,52685.05,3165.76,60076.82,4226.01,79,24/06/2021,Mary Black
Kia,Spotage,2019,32155.57,2008.54,35729.12,1565.01,78,09/06/2021,Santa Barry
Skoda,Citigo,2021,14879.26,1226.89,17261.73,1155.58,58,19/06/2021,Pat Byrne
Kia,Spotage,2019,32683.78,965.44,36424.56,2775.34,76,03/06/2021,Joe Fats
Honda,Civic,2021,23951.75,487.73,24759.83,320.35,53,26/06/2021,Joe Fats
Honda,Jazz,2017,18008.73,1509.49,21164.23,1646.01,34,16/06/2021,Tony Long
Kia,Rio,2020,17227.95,1026.54,18528.58,274.09,83,14/06/2021,Santa Barry
Kia,Soul,2020,31647.89,1135.16,34366.1,1583.05,73,28/06/2021,Tony Long
Audi,A5,2018,38820.71,1644.24,41219.15,754.2,17,29/06/2021,Joe Fats
Honda,Accord,2017,20190.81,885.6,22621.22,1544.81,69,15/06/2021,Tony Long
Honda,Accord,2021,31412.84,992.08,35283.29,2878.37,49,18/06/2021,Mary Black
Skoda,Citigo,2019,11219.38,1054.11,12488.96,215.47,67,14/06/2021,Jimmy The Fly
Kia,Ceed,2019,21164.99,1855.24,23714.07,693.84,1,07/06/2021,Mary Black
BMW,1 Series,2019,27323.97,2342.54,29342.69,-323.82,8,13/06/2021,Tony Long
Honda,Civic,2018,18392.29,446.81,19430.44,591.34,46,27/06/2021,Tony Long
Skoda,Octavia,2020,29412.1,1725.04,29702.79,-1434.35,15,20/06/2021,Mary Black
Kia,Ceed,2019,19243.51,1541.31,22218.78,1433.96,62,28/06/2021,Jimmy The Fly
Kia,Spotage,2021,40554.95,797.14,40756.9,-595.19,15,22/06/2021,Santa Barry
Kia,Soul,2018,24354.84,530.6,24494.18,-391.26,88,18/06/2021,Santa Barry
Skoda,Scala,2017,10067.43,117.95,10128.17,-57.21,68,01/06/2021,Jimmy The Fly
Kia,Sorento,2018,41767.8,1853.93,42615.97,-1005.76,77,05/06/2021,Jimmy The Fly
Audi,A3,2019,25294.79,1429.07,25622.13,-1101.73,84,30/06/2021,Joe Fats
Honda,Jazz,2020,27764.04,2259.46,30810.84,787.34,64,01/06/2021,Tony Long
Kia,Spotage,2017,21937.43,769.67,24253.42,1546.32,34,02/06/2021,Mary Black
Audi,A3,2019,23888.94,1921.97,28029.38,2218.47,88,12/06/2021,Santa Barry
Kia,Ceed,2018,15403.55,948.79,15885.76,-466.58,80,15/06/2021,Santa Barry
BMW,5 Series,2021,62693.57,3328.82,70546.11,4523.72,23,26/06/2021,Joe Fats
Honda,Fit,2017,8122.67,372.21,8097.78,-397.1,78,04/06/2021,Tony Long
Honda,Jazz,2019,23643.22,1135.96,24787.44,8.26,37,11/06/2021,Santa Barry
BMW,7 Series,2018,50854.99,1089.14,55108.04,3163.91,83,20/06/2021,Pat Byrne
Skoda,Octavia,2019,28021.59,2710.94,31233.03,500.5,31,08/06/2021,Santa Barry
Skoda,Scala,2021,19079.89,259.31,19486.5,147.3,89,23/06/2021,Tony Long
Honda,Fit,2021,14551.2,185.44,15948.43,1211.79,10,15/06/2021,Mary Black
Kia,Sorento,2017,35905.35,922.74,35961.03,-867.06,5,04/06/2021,Mary Black
Skoda,Scala,2020,18644.2,742.63,19244.06,-142.77,1,03/06/2021,Pat Byrne
BMW,7 Series,2021,66478.54,5271.93,72603.91,853.44,38,05/06/2021,Santa Barry
Skoda,Citigo,2018,9926.14,447.27,10440.16,66.75,59,23/06/2021,Tony Long
BMW,5 Series,2019,48766.35,1883.2,54881.13,4231.58,86,19/06/2021,Joe Fats
Kia,Spotage,2021,41724.96,1105.68,43364.02,533.38,28,04/06/2021,Mary Black
Audi,A5,2021,55184.96,3756.23,59732.82,791.63,2,13/06/2021,Mary Black
Audi,A4,2020,50761.76,4118.33,53695.4,-1184.69,49,09/06/2021,Santa Barry
Audi,A3,2019,26069.39,2226.65,30717.11,2421.07,42,24/06/2021,Jimmy The Fly
Skoda,Scala,2018,12611.92,1259.47,15040.43,1169.04,62,18/06/2021,Tony Long
Audi,A1,2020,28304.21,1396.8,29458.78,-242.23,63,27/06/2021,Pat Byrne
Honda,Jazz,2017,19348.89,1465.45,22335.67,1521.33,68,25/06/2021,Jimmy The Fly
Honda,Accord,2021,31844.19,3089.38,38106.12,3172.55,13,30/06/2021,Santa Barry
BMW,3 Series,2017,31009.19,2471.82,32603.44,-877.57,72,09/06/2021,Tony Long
Kia,Ceed,2021,24003.61,1722.46,26194.75,468.68,55,10/06/2021,Mary Black
Skoda,Citigo,2019,11010.07,537.57,12659.8,1112.16,55,02/06/2021,Tony Long
BMW,1 Series,2020,29097.73,907.87,32461.92,2456.32,16,29/06/2021,Pat Byrne
BMW,5 Series,2021,61857.19,3208.75,68088.66,3022.72,26,11/06/2021,Joe Fats
BMW,7 Series,2017,41291.89,2225.88,44428.96,911.19,55,06/06/2021,Tony Long
Honda,Civic,2019,20798.54,1319.46,21625.95,-492.05,52,28/06/2021,Tony Long
Honda,Fit,2017,7925.43,302.98,8173.66,-54.75,64,11/06/2021,Tony Long
Kia,Ceed,2018,17216.8,1378.27,17770.21,-824.86,74,19/06/2021,Jimmy The Fly
Skoda,Octavia,2018,25610.38,776.12,27100.01,713.51,33,19/06/2021,Pat Byrne
Audi,A6,2020,63507.19,1416.87,67845.3,2921.24,72,19/06/2021,Joe Fats
Audi,A3,2021,31627.28,965.22,31618.13,-974.37,77,03/06/2021,Mary Black
Kia,Sorento,2019,47414.64,2892.72,47826.12,-2481.24,44,14/06/2021,Tony Long
Skoda,Scala,2020,18902.58,230.54,18841.4,-291.72,49,10/06/2021,Pat Byrne
Skoda,Citigo,2018,9734.56,358.91,10707.69,614.22,18,21/06/2021,Santa Barry
BMW,5 Series,2017,38018.04,3384.23,41887.42,485.15,51,19/06/2021,Tony Long
BMW,1 Series,2018,23255.45,662.91,25393.7,1475.34,41,24/06/2021,Joe Fats
BMW,7 Series,2020,56524.56,3492.23,63989.18,3972.39,69,27/06/2021,Tony Long
Honda,Accord,2020,29069.21,2707.91,31374.39,-402.73,40,29/06/2021,Mary Black
Kia,Spotage,2018,29690.59,1728.86,33008.58,1589.13,62,01/06/2021,Pat Byrne
BMW,3 Series,2018,30784,1631.01,31468.58,-946.43,69,08/06/2021,Joe Fats
Kia,Rio,2020,15958.57,1527.11,17935.17,449.49,55,22/06/2021,Joe Fats
Honda,Civic,2017,14439.21,718.65,15832.3,674.44,49,28/06/2021,Mary Black
Kia,Ceed,2020,23239.02,1723.97,26674.05,1711.06,33,26/06/2021,Jimmy The Fly
Audi,A6,2020,60524.43,5344.4,65334.69,-534.14,30,04/06/2021,Pat Byrne
BMW,5 Series,2020,54746.85,2161.8,57936.62,1027.97,22,26/06/2021,Pat Byrne
Honda,Accord,2017,18203.33,260.47,20294.21,1830.41,59,01/06/2021,Santa Barry
Kia,Rio,2018,12231.13,142.05,13561.76,1188.58,66,05/06/2021,Jimmy The Fly
Skoda,Citigo,2021,15314.22,1193.44,17359.12,851.46,82,21/06/2021,Santa Barry
Honda,Accord,2020,25780.59,2025.01,29720.73,1915.13,31,02/06/2021,Santa Barry
Audi,A3,2018,22687.89,1757.53,24110.85,-334.57,66,07/06/2021,Jimmy The Fly
BMW,3 Series,2017,27412.71,2573.83,29668.45,-318.09,79,10/06/2021,Joe Fats
Skoda,Citigo,2020,14129.53,1097.62,16518.11,1290.96,46,17/06/2021,Tony Long
Honda,Accord,2019,26133.77,2268.62,31132.94,2730.55,18,06/06/2021,Joe Fats
Honda,Accord,2020,27660.59,2479.16,31733.05,1593.3,85,27/06/2021,Pat Byrne
BMW,7 Series,2018,43969.74,792.3,43212.56,-1549.48,80,13/06/2021,Mary Black
Audi,A4,2019,41303.96,1342.83,45682.85,3036.06,62,26/06/2021,Jimmy The Fly
Audi,A5,2021,62123.96,5398.83,67013.79,-509,8,29/06/2021,Joe Fats
Kia,Ceed,2021,25051.47,1356.33,25308.86,-1098.94,83,30/06/2021,Tony Long
Honda,Jazz,2019,23777.14,322.8,23613.27,-486.67,43,08/06/2021,Tony Long
BMW,5 Series,2018,44127.72,3471.33,50203.1,2604.05,31,03/06/2021,Joe Fats
BMW,5 Series,2020,54893.63,1415.23,61361.14,5052.28,64,21/06/2021,Joe Fats
Audi,A3,2021,31463.46,1128.9,31326.48,-1265.88,57,02/06/2021,Joe Fats
Honda,Jazz,2019,21341.52,2024.35,24162,796.13,69,27/06/2021,Santa Barry
Honda,Fit,2020,13717.58,1337.11,16034.28,979.59,51,23/06/2021,Santa Barry
Honda,Accord,2019,25991.61,620.11,25433.16,-1178.56,3,02/06/2021,Santa Barry
BMW,7 Series,2021,64941.46,6283.89,69213.8,-2011.55,2,28/06/2021,Joe Fats
Honda,Fit,2019,11765.17,117.74,11399.19,-483.72,1,09/06/2021,Joe Fats
BMW,1 Series,2018,24886.16,1992.27,26757.41,-121.02,6,03/06/2021,Mary Black
Audi,A6,2021,68355.33,3006.25,73185.25,1823.67,71,28/06/2021,Mary Black
Audi,A1,2017,18565.63,1791.6,19694.05,-663.18,36,08/06/2021,Santa Barry
Skoda,Octavia,2018,26219,1312.68,27396.69,-134.99,78,14/06/2021,Santa Barry
BMW,1 Series,2018,25998.49,1293.4,28676.51,1384.62,17,29/06/2021,Tony Long
Audi,A1,2020,27764.56,1561.7,28516.3,-809.96,19,18/06/2021,Jimmy The Fly
Audi,A4,2019,39624.67,3308.83,41581.88,-1351.62,63,29/06/2021,Tony Long
Audi,A5,2021,54742.97,5107.78,58592.59,-1258.16,67,11/06/2021,Pat Byrne
BMW,1 Series,2018,23853.14,285.4,24925.58,787.04,62,19/06/2021,Joe Fats
BMW,5 Series,2019,44574.68,3117.76,47775.3,82.86,18,22/06/2021,Mary Black
Kia,Ceed,2020,23087.87,2223.99,26931.72,1619.86,90,21/08/2021,Santa Barry
Kia,Soul,2017,20251.98,1882.72,21479.41,-655.29,42,18/08/2021,Tony Long
Kia,Sorento,2017,32358,361.37,33623.15,903.78,51,31/08/2021,Joe Fats
BMW,7 Series,2018,42427.01,1651.45,45290.81,1212.35,34,25/08/2021,Mary Black
Kia,Soul,2019,28525.37,1608.95,29842.92,-291.4,38,23/08/2021,Santa Barry
Kia,Sorento,2018,35253.67,1074.23,39095.17,2767.27,62,24/08/2021,Tony Long
Kia,Rio,2017,11433.18,541.36,12075.26,100.72,19,17/08/2021,Mary Black
BMW,3 Series,2020,41898.15,2561.26,46624.74,2165.33,53,18/08/2021,Pat Byrne
Audi,A6,2021,66782.66,4009.87,72388.65,1596.12,44,22/08/2021,Jimmy The Fly
Honda,Accord,2017,19247.46,326.08,20499.8,926.26,9,20/08/2021,Mary Black
BMW,5 Series,2017,34915.24,1519.59,38763.73,2328.9,19,20/08/2021,Pat Byrne
Skoda,Octavia,2018,21086.66,723.65,23428.62,1618.31,64,23/08/2021,Pat Byrne
BMW,3 Series,2019,38533.04,2441.73,41012.21,37.44,1,13/08/2021,Pat Byrne
Skoda,Scala,2020,17804.63,1220.98,20906.25,1880.64,2,26/08/2021,Mary Black
Audi,A5,2018,38501.4,2001.54,41618.26,1115.32,83,22/08/2021,Tony Long
Skoda,Citigo,2019,12160.12,603.17,13832.16,1068.87,25,06/08/2021,Jimmy The Fly
Kia,Sorento,2017,31642.65,429.29,31396.08,-675.86,53,03/08/2021,Tony Long
Honda,Jazz,2017,16267.01,510.81,17000.1,222.28,64,19/08/2021,Tony Long
Kia,Rio,2019,13950.51,581.23,15666.18,1134.44,50,08/08/2021,Pat Byrne
Skoda,Citigo,2017,8929.82,319.79,8888.47,-361.14,47,10/08/2021,Mary Black
Audi,A6,2019,51541.19,3925.52,55019.17,-447.54,19,07/08/2021,Jimmy The Fly
Audi,A5,2017,36771,3516.92,42065.88,1777.96,9,26/08/2021,Santa Barry
Honda,Accord,2018,20968.93,256.24,20441.28,-783.89,87,12/08/2021,Mary Black
Skoda,Octavia,2021,33438.04,3018.72,38838.44,2381.68,6,17/08/2021,Jimmy The Fly
Audi,A3,2017,18931.37,1094.08,21383.36,1357.91,7,25/08/2021,Mary Black
Skoda,Scala,2018,14488.28,301.36,14484.74,-304.9,59,21/08/2021,Santa Barry
Kia,Spotage,2021,36198.06,1635.81,39736.2,1902.33,13,19/08/2021,Santa Barry
Audi,A1,2019,22497.84,1464.94,23739.67,-223.11,89,04/08/2021,Santa Barry
BMW,X5,2018,42756.61,2188.64,43910.09,-1035.16,23,08/08/2021,Pat Byrne
BMW,5 Series,2021,56959.18,1419.73,62256.8,3877.89,48,23/08/2021,Santa Barry
BMW,5 Series,2020,51620.56,3023.69,59059.95,4415.7,78,16/08/2021,Jimmy The Fly
Audi,A3,2021,29398.18,2705.53,34168.33,2064.62,9,18/08/2021,Joe Fats
Skoda,Octavia,2019,26529.27,2544.31,28904.31,-169.27,8,22/08/2021,Joe Fats
Audi,A1,2018,21700.92,1056.32,22253.02,-504.22,34,30/08/2021,Pat Byrne
